Ammonia,Glucose,Phosphates,Hydrogensulfide,Oxygen,Carbondioxide,Nitrogen,Sunlight,Temperature,Iron,Speed,ATP Production,ATP Consumption,Population,cytoplasm,hydrogenase,metabolosomes,thylakoids,chemosynthesizing proteins,rusticyanin,nitrogenase,toxisome,flagellum,perforator pilus,chemoreceptor,slime jet,selected
20.49017,4.0256376,18.14723,11.400346,0,26.036688,64.19636,0,9800,3.2962868,36.43162,2.4,2,9348,1,0,0,0,0,0,0,0,0,0,0,0,4
20.603455,2.5764077,18.14723,8.823562,0,27.728552,65.881714,0,9800,3.2962868,24.735424,4.4,4,13764,1,0,0,0,1,0,0,0,0,0,0,0,12
26.876137,2.061126,18.14723,9.426925,0,32.24393,63.30484,0,9800,3.2962868,24.735424,4.4,4,9450,1,0,0,0,1,0,0,0,0,0,0,0,12
31.688953,1.6489009,18.14723,69.58165,0,44.82489,52.922165,0,9800,3.2962868,24.735424,4.4,4,8530,1,0,0,0,1,0,0,0,0,0,0,0,12
33.688152,1.3191206,18.14723,59.859768,0,39.91261,58.09639,0,9800,3.2962868,24.735424,4.4,4,36213,1,0,0,0,1,0,0,0,0,0,0,0,0
43.23697,1.0552964,18.14723,46.065964,0,32.290634,65.691216,0,9800,3.2962868,24.445045,6.8,6,21758,2,0,0,0,1,0,0,0,0,0,0,0,0
52.769855,0.8442371,18.14723,38.04567,0,35.099648,63.375526,0,9800,3.2962868,24.078905,9.200001,8,9850,3,0,0,0,1,0,0,0,0,0,0,0,0
70.93573,0.67538965,18.14723,32.132523,0,29.966862,68.56077,0,9800,3.2962868,23.790823,11.6,10,6210,4,0,0,0,1,0,0,0,0,0,0,0,0
85.08254,0.54031175,18.14723,27.043552,0,32.51549,66.395485,0,9800,3.2962868,23.638899,14,12,4226,5,0,0,0,1,0,0,0,0,0,0,0,0
94.26502,0.43224937,18.14723,23.481585,0,28.095337,70.878006,0,9800,3.2962868,24.881382,16.4,14,3837,6,0,0,0,1,0,0,0,0,0,0,0,0
106.36567,0.34579948,18.14723,19.594757,0,32.744656,66.501114,0,9800,3.2962868,24.534807,18.8,16,2541,7,0,0,0,1,0,0,0,0,0,0,0,0
114.50639,0.27663958,18.14723,10.750521,0.021085942,29.655737,69.61532,0,9800,3.2962868,24.37691,21.199999,18,2439,8,0,0,0,1,0,0,0,0,0,0,0,0
119.630455,0.22131167,18.14723,5.958402,0.0676644,34.57288,64.84764,0,9800,3.2962868,25.306898,23.599998,20,1707,9,0,0,0,1,0,0,0,0,0,0,0,0
124.91633,0.17704935,18.14723,5.958402,0.1998033,31.258646,68.06534,0,9800,3.2962868,24.969942,25.999998,22,948,10,0,0,0,1,0,0,0,0,0,0,0,0
126.70697,0.14163949,18.14723,5.958402,0.35950062,28.146854,71.052574,0,9800,3.2962868,25.87936,28.399998,24,570,11,0,0,0,1,0,0,0,0,0,0,0,0
128.11699,0.11331161,18.14723,5.958402,0.5300341,32.55078,66.62942,0,9800,3.2962868,25.597555,30.799997,26,490,12,0,0,0,1,0,0,0,0,0,0,0,0
131.42566,0.0906493,18.14723,5.958402,0.8254429,31.397402,67.50901,0,9800,3.2962868,26.310692,33.199997,28,356,13,0,0,0,1,0,0,0,0,0,0,0,0
131.8478,0.07251945,18.14723,62.998024,0.97353935,46.29305,52.579094,0,9800,3.2962868,26.026142,35.6,30,284,14,0,0,0,1,0,0,0,0,0,0,0,0
132.22647,0.05801558,18.14723,37.312176,1.255604,42.74846,55.84005,0,9800,3.2838702,26.700098,38,32.200897,1455,15,0,0,0,1,0,0,0,0,0,0,0,0
132.30324,0.046412483,18.14723,21.694592,1.4115933,37.700176,60.74295,0,9800,3.2699637,26.194408,40.4,34.23997,1000,16,0,0,0,1,0,0,0,0,0,0,0,0
