Ammonia,Glucose,Phosphates,Hydrogensulfide,Oxygen,Carbondioxide,Nitrogen,Sunlight,Temperature,Iron,Speed,ATP Production,ATP Consumption,Population,cytoplasm,hydrogenase,metabolosomes,thylakoids,chemosynthesizing proteins,rusticyanin,nitrogenase,toxisome,flagellum,perforator pilus,chemoreceptor,slime jet,selected
17.698654,3.678502,18.628933,70.795944,0,45.643982,47.83425,0,9800,3.0897813,36.43162,2.4,2,8541,1,0,0,0,0,0,0,0,0,0,0,0,4
16.493721,2.9428012,18.628933,52.304066,0,39.392944,54.41154,0,9800,3.0897813,24.735424,4.4,4,36987,1,0,0,0,1,0,0,0,0,0,0,0,12
13.241382,2.3542411,18.628933,32.699364,0,36.577538,57.822018,0,9800,3.0897813,24.735424,4.4,4,35055,1,0,0,0,1,0,0,0,0,0,0,0,12
34.294994,1.8833928,18.628933,77.391014,0,52.806347,44.284615,0,9800,3.0897813,24.735424,4.4,4,25455,1,0,0,0,1,0,0,0,0,0,0,0,12
46.739677,1.5067141,18.628933,41.17541,0.6564354,46.640015,49.66434,0,9800,3.0897813,24.735424,4.4,4,24845,1,0,0,0,1,0,0,0,0,0,0,0,5
80.44955,1.2053713,18.628933,18.283737,2.402674,35.986145,58.3646,0,9800,3.06751,23.397402,9.9,6.07208,13751,1,0,0,0,1,1,0,0,0,0,0,0,5
87.35475,0.96429694,18.628933,9.455603,3.5998974,31.210205,62.297905,0,9800,3.0343816,22.29528,15.4,8.143996,5556,1,0,0,0,1,2,0,0,0,0,0,0,5
87.85103,0.7714375,18.628933,5.9515877,4.2993436,27.724838,65.435936,0,9800,2.9952443,21.463459,20.9,10.214968,2392,1,0,0,0,1,3,0,0,0,0,0,0,5
90.174866,0.61715,18.628933,5.9515877,7.402213,31.526312,59.194344,0,9800,2.9287298,20.884851,26.4,12.444132,1391,1,0,0,0,1,4,0,0,0,0,0,0,5
89.45454,0.49371997,18.628933,62.561512,7.4876986,47.338478,44.121456,0,9800,2.8629415,21.607515,31.9,14.524139,986,1,0,0,0,1,5,0,0,0,0,0,0,5
89.204,0.39497596,18.628933,37.214027,8.27832,42.356304,48.46342,0,9800,2.7918406,21.001795,37.4,16.662266,4012,1,0,0,0,1,6,0,0,0,0,0,0,5
88.12128,0.31598076,18.628933,20.49721,10.995406,37.610374,50.533897,0,9800,2.699748,20.612827,42.9,18.989586,2404,1,0,0,0,1,7,0,0,0,0,0,0,5
87.3417,0.2527846,18.628933,11.223967,12.362012,33.848335,52.906193,0,9800,2.5996253,21.175158,48.4,21.2362,1404,1,0,0,0,1,8,0,0,0,0,0,0,5
87.1187,0.20222771,18.628933,6.3463297,15.659596,28.497774,55.014557,0,9800,2.477498,20.702925,53.9,23.722555,770,1,0,0,0,1,9,0,0,0,0,0,0,5
86.977585,0.16178218,18.628933,5.9515877,16.332745,35.069004,47.999756,0,9800,2.3561049,21.285387,59.4,25.95993,498,1,0,0,0,1,10,0,0,0,0,0,0,5
86.76103,0.12942575,18.628933,5.9515877,18.088812,35.596813,45.805336,0,9800,2.2282474,20.90467,64.9,28.351547,458,1,0,0,0,1,11,0,0,0,0,0,0,2
86.57623,0.103540614,18.628933,5.9515877,22.450512,32.28766,44.82856,0,9800,2.0781715,21.463987,71.635155,30.723072,508,1,0,1,0,1,11,0,0,0,0,0,0,2
86.43246,0.08283251,18.628933,5.9515877,24.846468,33.321384,41.431347,0,9800,1.9232662,21.211308,79.807884,32.82697,359,1,0,2,0,1,11,0,0,0,0,0,0,2
86.313286,0.06626602,18.628933,5.9515877,26.435863,32.983715,40.240555,0,9800,1.7707363,21.741508,88.692276,34.789738,530,1,0,3,0,1,11,0,0,0,0,0,0,2
86.169235,0.053012833,18.628933,5.9515877,27.06069,32.344814,40.306644,0,9800,1.6269844,21.312723,97.37284,36.560318,442,1,0,4,0,1,11,0,0,0,0,0,0,2
